PN,PID,Inspector,Profile,Fixture/Tip,Fiber Type,Cleaning,Max Kitting,,
10-1886-03,CWDM-SFP-1590=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-1882-03,CWDM-SFP-1530=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-1887-03,CWDM-SFP-1610=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-1885-03,CWDM-SFP-1570=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-1884-03,CWDM-SFP-1490=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-1881-03,CWDM-SFP-1470=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2228-03,DWDM-SFP-4772=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2262-02,GLC-FE-100EX=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3109-01,SFP-10G-ER-S=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2531-02,SFP-10G-ER=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2791-01,XFP10GZR192LR-RGD=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2078-02,SFP-OC3-MM=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3419-01,GLC-BX-D-I=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3420-01,GLC-BX-U-I=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3251-01,SFP-10G/25G-LR-S=,Fiber Check,SM_Rev.2.0,Simplex Long Reach (-L),LC,,180,,
10-2242-03,CWDM-SFP-3425=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2950-01,ONS-SC-622-TSOP=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2238-03,DWDM-SFP-3819=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2240-03,DWDM-SFP-3582=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2243-03,DWDM-SFP-3268=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2081-02,GLC-FE-100BX-U=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2019-03,GLC-GE-100FX=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3111-01,SFP-10G-ZR-S=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2755-01,DWDM-SFP10G-54.13=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2773-01,DWDM-SFP10G-38.19=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2772-01,DWDM-SFP10G-38.98=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2782-01,DWDM-SFP10G-34.25=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2784-01,DWDM-SFP10G-30.33=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2776-01,DWDM-SFP10G-46.12=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2761-01,DWDM-SFP10G-48.51=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2759-01,DWDM-SFP10G-50.12=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2747-01,DWDM-SFP10G-60.61=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2746-01,DWDM-SFP10G-61.41=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2766-01,DWDM-SFP10G-42.14=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2748-01,DWDM-SFP10G-59.79=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3036-01,DWDM-SFP10G-C=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2786-01,XFP10GLR192SR-RGD=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,120,,
10-2777-01,DWDM-SFP10G-35.82=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2753-01,DWDM-SFP10G-54.94=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2750-01,DWDM-SFP10G-58.98=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2778-01,DWDM-SFP10G-37.40=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2456-03,SFP-10G-LRM=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3316-02,QSFP-100G-ER4L-S=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,>,FLJ-30,120
10-2752-01,DWDM-SFP10G-57.36=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
